Trade_Date,Open,High,Low,Close,Settle,Change,Tota_Volume,EFP,Prev_Open_Interest
2005-06-20,148.3,148.3,148.3,148.3,148.3,148.3,0,0,0
2005-06-21,149,149,149,149,149.1,0.8,50,0,50
2005-06-22,148.4,148.4,148.4,148.4,148.6,-0.5,10,0,60
2005-06-23,149.8,150.5,149.1,150.5,151.2,2.6,61,0,121
2005-06-24,150.9,152,150.5,152,152.7,1.5,9,0,117
2005-06-27,152.8,152.8,152.2,152.2,152.3,-0.4,26,0,142
2005-06-28,150.2,150.2,150.2,150.2,150.2,-2.1,0,0,137
2005-06-29,151.2,151.2,150.5,151.2,151.3,1.1,45,0,181
2005-06-30,151,151,151,151,151,-0.3,0,0,150
2005-07-01,150.7,150.7,150.7,150.7,150.7,-0.3,0,0,150
2005-07-05,151.4,151.4,148.6,148.6,149.2,-1.5,13,0,162
2005-07-06,148.1,150,148.1,150,150,0.8,15,0,176
2005-07-07,151.9,151.9,151.3,151.3,151.1,1.1,5,0,177
2005-07-08,150.8,150.8,148,148,148.7,-2.4,16,0,188
2005-07-11,149.4,149.8,147.8,148.4,149,0.3,50,0,238
2005-07-12,149.9,150,148.8,149.6,149.3,0.3,25,0,251
2005-07-13,149,149,149,149,149,-0.3,0,0,248
2005-07-14,148.1,148.1,147.5,147.5,148,-1,10,0,248
2005-07-15,147.5,147.5,146.7,146.7,146.2,-1.8,4,0,244
2005-07-18,145.4,145.7,144.4,145.7,145.3,-0.9,35,0,245
2005-07-19,145.5,145.6,145.2,145.5,144.9,-0.4,5,0,230
2005-07-20,145.5,145.5,144.4,144.4,144,-0.9,4,0,231
2005-07-21,142.7,144.4,142.5,142.5,143.3,-0.7,13,0,233
2005-07-22,142.7,142.7,141.8,141.8,142.1,-1.2,3,0,236
2005-07-25,141.3,142,141.3,141.5,141.5,-0.6,17,0,255
2005-07-26,140.7,140.7,140.6,140.6,141.2,-0.3,6,0,261
2005-07-27,141.9,141.9,140.2,140.2,140.1,-1.1,49,0,246
2005-07-28,139,139.8,137.9,139.8,139.2,-0.9,13,0,244
2005-07-29,138.9,141,138.9,140.2,140.1,0.9,114,0,352
2005-08-01,142,142,142,142,141.8,1.7,5,0,393
2005-08-02,140.5,141.7,140.3,141.5,140.8,-1,33,0,393
2005-08-03,141,141,139.9,139.9,141.1,0.3,56,0,427
2005-08-04,140.5,142,139.5,142,141.9,0.8,95,0,494
2005-08-05,143,144.5,142,142.4,142.9,1,153,0,641
2005-08-08,142.5,144.4,142.5,144.4,144.3,1.4,24,0,646
2005-08-09,142.7,142.7,140.5,140.5,140.5,-3.8,68,0,711
2005-08-10,140,143,139.5,143,141.9,1.4,33,0,800
2005-08-11,141.8,141.8,140,140.7,140.3,-1.6,136,0,867
2005-08-12,141.8,149,140.9,142.7,144.1,3.8,151,0,967
2005-08-15,144.6,144.6,143.4,143.4,143.1,-1,2,0,1017
2005-08-16,143.8,147,143.8,145.8,146.1,3,311,0,1110
2005-08-17,146.5,146.5,143.9,145,144.9,-1.2,139,0,1169
2005-08-18,146.5,146.5,144.3,144.3,143.8,-1.1,9,0,1228
2005-08-19,142.5,143.3,142.5,143.3,142.7,-1.1,12,0,1285
2005-08-22,142,143.3,141.4,142.5,142.4,-0.3,52,0,1304
2005-08-23,143,143,143,143,142.5,0.1,5,0,1304
2005-08-24,142,143.3,142,143.3,142.6,0.1,26,0,1313
2005-08-25,143,143,141.3,141.9,142.8,0.2,14,0,1315
2005-08-26,143.6,144,143.5,143.5,143.6,0.8,8,0,1302
2005-08-29,143.9,143.9,143.1,143.1,142,-1.6,28,0,1299
2005-08-30,143.2,143.7,142.1,143.7,143,1,29,0,1314
2005-08-31,143.5,143.5,140.5,140.6,141.1,-1.9,45,0,1337
2005-09-01,141,142.8,141,141.5,141.8,0.7,64,0,1283
2005-09-02,141.3,143.7,141.3,142,142.3,0.5,49,0,1305
2005-09-06,141.8,142.5,140.7,141.2,140.9,-1.4,25,0,1324
2005-09-07,141,141,138.8,138.8,139.2,-1.7,37,0,1302
2005-09-08,138.5,140,138.5,138.8,139.4,0.2,17,0,1311
2005-09-09,139,139,136.9,137,137.1,-2.3,46,0,1333
2005-09-12,137,137,136.1,136.1,136.5,-0.6,76,0,1300
2005-09-13,136.4,138.2,136,138.2,137.8,1.3,53,0,1306
2005-09-14,136.1,138.2,136.1,138.2,137.7,-0.1,3,0,1303
2005-09-15,137.1,137.8,137,137,137.1,-0.6,21,0,1378
2005-09-16,135.3,136,135,135.8,135.1,-2,39,0,1368
2005-09-19,134.4,136.9,134.3,136.9,135.9,0.8,16,0,1362
2005-09-20,135.5,137.1,135.3,136.5,136.6,0.7,64,0,1340
2005-09-21,137.1,140.5,137,140.5,139.8,3.2,91,0,1381
2005-09-22,141.6,144.5,141,141,141.8,2,446,0,1378
2005-09-23,141,141,139,139,139.5,-2.3,63,0,1136
2005-09-26,137,137,136.2,136.2,137.5,-2,43,0,1134
2005-09-27,138.4,138.4,135.7,135.7,136.3,-1.2,32,0,1104
2005-09-28,135.5,135.5,133.4,133.4,134.3,-2,108,0,1142
2005-09-29,133,133,131,131,131.5,-2.8,12,0,1132
2005-09-30,131,131,129.5,129.5,129.4,-2.1,82,0,1142
2005-10-03,129.5,130.6,127.6,127.6,128.6,-0.8,55,0,1156
2005-10-04,128.1,131.9,127.4,131.9,131.8,3.2,75,0,1161
2005-10-05,132,139.1,132,138.6,138,6.2,298,0,1366
2005-10-06,137.8,144.3,137.8,141.5,141,3,381,0,1494
2005-10-07,141,142.1,140.1,141.1,140.5,-0.5,39,0,1270
2005-10-10,141.8,146.2,141.8,146.2,145.6,5.1,160,0,1329
2005-10-11,145.5,146.7,145,145.9,146.3,0.7,161,0,1316
2005-10-12,146.7,148,145,148,147.7,1.4,303,0,1360
2005-10-13,147.5,157.4,147.5,154,153.6,5.9,184,0,1128
2005-10-14,152.5,152.5,147,147,147.7,-5.9,169,0,1174
2005-10-17,146.1,146.1,142.9,142.9,143,-4.7,134,0,1229
2005-10-18,143.3,145.8,140.6,145.8,145.7,2.7,278,0,1201
2005-10-19,151.72,151.72,151.72,151.72,151.72,6.02,0,0,897
2005-10-20,146.6,152.9,144.5,152.4,151.7,5.1,348,0,7512
2005-10-21,150,152.5,149,151,151.1,-0.6,225,0,7747
